SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,"Industrial arts, consumer services, and recreation",754,54000,0.0261907567,0.0006993433,"Major: Industrial arts, consumer services, and recreation",Occ: Construction and extraction
Bachelors,"Industrial arts, consumer services, and recreation",3147,43000,0.100705277,0.0026890235,"Major: Industrial arts, consumer services, and recreation","Occ: Education, training, and library"
Bachelors,"Industrial arts, consumer services, and recreation",58,37000,0.0013933275,0.0000372045,"Major: Industrial arts, consumer services, and recreation","Occ: Farming, fisheries, and forestry"
Bachelors,"Industrial arts, consumer services, and recreation",720,35000,0.0302409063,0.00080749,"Major: Industrial arts, consumer services, and recreation",Occ: Food preparation and serving related
Bachelors,"Industrial arts, consumer services, and recreation",1479,51000,0.0496420415,0.0013255375,"Major: Industrial arts, consumer services, and recreation",Occ: Healthcare practitioners and technical
Bachelors,"Industrial arts, consumer services, and recreation",379,33000,0.0145656555,0.0003889309,"Major: Industrial arts, consumer services, and recreation",Occ: Healthcare support
Bachelors,"Industrial arts, consumer services, and recreation",671,57000,0.0237796668,0.0006349626,"Major: Industrial arts, consumer services, and recreation","Occ: Installation, maintenance and repair"
Bachelors,"Industrial arts, consumer services, and recreation",149,53000,0.0058589421,0.000156445,"Major: Industrial arts, consumer services, and recreation",Occ: Legal
Bachelors,"Industrial arts, consumer services, and recreation",183,50000,0.0055805932,0.0001490125,"Major: Industrial arts, consumer services, and recreation","Occ: Life, physical, and social sciences"
Bachelors,"Industrial arts, consumer services, and recreation",6188,70000,0.2025996324,0.0054097977,"Major: Industrial arts, consumer services, and recreation",Occ: Management
Bachelors,"Industrial arts, consumer services, and recreation",2806,40000,0.0937810728,0.002504134,"Major: Industrial arts, consumer services, and recreation",Occ: Office and administrative support
Bachelors,"Industrial arts, consumer services, and recreation",1350,37000,0.0476793497,0.0012731298,"Major: Industrial arts, consumer services, and recreation",Occ: Personal care and service
Bachelors,"Industrial arts, consumer services, and recreation",635,46000,0.0220357908,0.0005883978,"Major: Industrial arts, consumer services, and recreation",Occ: Production
Bachelors,"Industrial arts, consumer services, and recreation",853,58000,0.0292522771,0.0007810917,"Major: Industrial arts, consumer services, and recreation",Occ: Protective service
